hash,mount
f8c232ed5ba77426df851339251c44beef56d4e587e464eefc65e5cc87bc3b2d,10000000000
15fde773d95cc7fb37b704a99998a7ee050998030b7017dfedded4850050044e,10000000000
a97450da02ab83b68206e69b739ce27f5c617ec6d0c33795da25bd10136cea7b,10000000000
40ce41c96ea59b17bd06b73aadbe4253a3fb3d0eba41a1dcb83ca12fe7a9e809,5000000000
5a59e55558154d700fa9f20303f6a98c873ce7302a977f3ecbbce220ab0b39e3,10000000000
2ca4b2d44586edb543bf2969259fa9e4b75f1bcb4e43ea755de46e5678d5df72,1000000000
9abae36e022471bcac3188789ffcb9cd92bbbd2f81775a468b78a86dbdfaa43e,2500000000
f055ab6994f08309cd46c9bc8e73d94456ed731d59cb9f010b019eb89182908d,401000000
04d38d975fc5bd0fd1e8bfc3783eee227bcf74c5ad5a4214b1d4ec9c0d27857c,1000000
